frame,H-bonds,Salt-bridges,π-π interactions,Cation-π interactions,Anion-π interactions,CH-O/N bonds,CH-π interactions,Halogen bonds,Apolar vdW contacts,Polar vdW contacts,Proximal contacts,Clashes,Water mediated,Metal mediated,S-S bonds,Amino-π interactions,Lone pair-π interactions,O/N/SH-π interactions
1,0,2,5,1,0,27,4,0,1,0,29,9,0,0,0,0,3,0
2,0,1,6,2,0,24,5,0,0,0,28,5,0,0,0,0,2,0
3,0,4,5,0,0,24,8,0,1,0,22,7,0,0,0,0,2,0
4,0,2,6,2,0,28,4,0,2,0,29,7,0,0,0,0,2,0
5,0,1,5,0,0,26,4,0,0,0,26,8,0,0,0,0,3,0
6,0,2,5,0,0,26,4,0,0,0,25,9,0,0,0,0,3,0
7,0,2,5,1,0,30,4,0,2,0,25,9,0,0,0,0,3,0
8,0,3,5,2,0,25,4,0,0,0,21,9,0,0,0,0,1,0
9,0,6,5,0,0,25,5,0,1,0,24,8,0,0,0,0,2,0
10,0,1,4,1,0,27,5,0,0,0,18,8,0,0,0,0,3,0
