frame,H-bonds,Salt-bridges,π-π interactions,Cation-π interactions,Anion-π interactions,CH-O/N bonds,CH-π interactions,Halogen bonds,Apolar vdW contacts,Polar vdW contacts,Proximal contacts,Clashes,Water mediated,Metal mediated,S-S bonds,Amino-π interactions,Lone pair-π interactions,O/N/SH-π interactions
1,4,4,0,0,0,5,1,0,3,0,33,2,37,0,0,0,0,0
2,2,4,0,0,0,4,0,0,4,0,19,1,42,0,0,0,0,0
3,2,3,0,0,0,4,1,0,6,0,24,1,41,0,0,0,0,0
4,8,4,0,0,0,5,0,0,8,0,29,2,37,0,0,0,0,0
5,4,4,0,0,0,4,0,0,6,0,28,1,33,0,0,0,0,0
6,6,3,0,0,0,6,1,0,2,0,22,1,33,0,0,0,0,0
7,6,5,0,0,0,5,1,0,7,0,26,2,24,0,0,0,0,0
8,4,6,0,0,0,6,2,0,7,0,24,2,36,0,0,0,0,0
9,3,6,0,0,0,9,2,0,4,0,26,2,34,0,0,0,0,0
10,6,6,0,0,0,3,1,0,4,0,26,0,32,0,0,0,0,0
11,7,5,0,0,0,5,1,0,5,0,33,0,38,0,0,0,0,0
12,5,5,0,0,0,5,1,0,14,0,28,0,25,0,0,0,0,0
13,8,5,0,0,0,4,1,0,8,0,21,1,27,0,0,0,0,0
14,4,6,0,0,0,1,1,0,12,0,26,1,24,0,0,0,0,0
15,3,6,0,0,0,4,1,0,8,0,26,1,23,0,0,0,0,0
16,6,7,0,0,0,6,0,0,8,0,21,1,25,0,0,0,0,0
17,5,7,0,0,0,4,1,0,7,0,28,1,30,0,0,0,0,0
18,6,6,0,0,0,2,2,0,10,0,26,0,29,0,0,0,0,0
19,7,6,0,0,0,5,2,0,8,0,37,0,24,0,0,0,0,0
20,8,6,0,0,0,6,1,0,8,0,33,0,30,0,0,0,0,0
21,5,5,0,0,0,4,0,0,4,0,30,1,37,0,0,0,0,0
22,6,6,0,0,0,6,1,0,8,0,32,2,23,0,0,0,0,0
